
   INFO  Server running on [http://127.0.0.1:8001].  

  Press Ctrl+C to stop the server
  2025-04-22 23:22:05 /assets/css/plugins.min.css ................................. ~ 0.20ms
  2025-04-22 23:22:05 /assets/css/kaiadmin.min.css ................................ ~ 0.41ms
  2025-04-22 23:22:05 /assets/css/demo.css ........................................ ~ 4.93ms
  2025-04-22 23:22:05 /assets/img/kaiadmin/logo_light.svg ........................ ~ 10.34ms
  2025-04-22 23:22:05 /assets/img/jm_denis.jpg .................................... ~ 0.21ms
  2025-04-22 23:22:05 /assets/img/chadengle.jpg ................................... ~ 0.27ms
  2025-04-22 23:22:05 /assets/img/mlane.jpg ....................................... ~ 0.25ms
  2025-04-22 23:22:05 /assets/js/core/jquery-3.7.1.min.js ......................... ~ 0.28ms
  2025-04-22 23:22:05 /assets/css/fonts.min.css ................................... ~ 0.35ms
  2025-04-22 23:22:05 /assets/js/core/popper.min.js ............................... ~ 0.52ms
  2025-04-22 23:22:05 /assets/js/core/bootstrap.min.js ............................ ~ 2.43ms
  2025-04-22 23:22:05 /assets/js/plugin/jquery-scrollbar/jquery.scrollbar.min.js .. ~ 5.07ms
  2025-04-22 23:22:05 /assets/js/plugin/jquery.sparkline/jquery.sparkline.min.js .. ~ 5.95ms
  2025-04-22 23:22:05 /assets/js/plugin/chart-circle/circles.min.js ............... ~ 6.46ms
  2025-04-22 23:22:05 /assets/js/plugin/chart.js/chart.min.js .................... ~ 11.12ms
  2025-04-22 23:22:05 /assets/js/plugin/datatables/datatables.min.js ............ ~ 517.79ms
  2025-04-22 23:22:05 /assets/js/plugin/bootstrap-notify/bootstrap-notify.min.js .. ~ 6.01ms
  2025-04-22 23:22:05 /assets/js/plugin/jsvectormap/jsvectormap.min.js ............ ~ 7.74ms
  2025-04-22 23:22:05 /assets/js/plugin/jsvectormap/world.js ...................... ~ 9.56ms
  2025-04-22 23:22:05 /assets/js/plugin/sweetalert/sweetalert.min.js ............. ~ 11.78ms
  2025-04-22 23:22:05 /assets/js/kaiadmin.min.js ................................. ~ 18.01ms
  2025-04-22 23:22:05 /assets/js/setting-demo.js .................................. ~ 0.38ms
  2025-04-22 23:22:05 /assets/js/demo.js .......................................... ~ 3.18ms
  2025-04-22 23:22:05 /assets/img/talha.jpg ....................................... ~ 5.50ms
  2025-04-22 23:22:05 /assets/img/profile2.jpg ................................... ~ 10.07ms
  2025-04-22 23:22:05 /assets/img/profile.jpg .................................... ~ 12.73ms
  2025-04-22 23:22:05 /assets/fonts/fontawesome/fa-solid-900.woff2 ................ ~ 0.19ms
  2025-04-22 23:22:05 /assets/fonts/simple-line-icons/Simple-Line-Icons.woff2?v=2.4.0  ~ 0.16ms
  2025-04-22 23:22:05 /assets/fonts/fontawesome/fa-regular-400.woff2 .............. ~ 0.15ms
  2025-04-22 23:22:05 /assets/fonts/fontawesome/fa-brands-400.woff2 ............... ~ 0.15ms
  2025-04-22 23:24:02 /admin/dashboard ................................................ ~ 9s
  2025-04-22 23:24:11 ............................................................. ~ 1m 38s
  2025-04-22 23:25:50 /admin/dashboard ................................................ ~ 5s
  2025-04-22 23:25:50 /favicon.ico .................................................... ~ 8s
  2025-04-22 23:26:00 /admin/login .................................................... ~ 1s
  2025-04-22 23:26:00 / ............................................................... ~ 1s
  2025-04-22 23:26:02 /admin/login .................................................... ~ 1s
  2025-04-22 23:26:03 / ............................................................... ~ 1s
  2025-04-22 23:26:03 /admin/login .................................................... ~ 1s
  2025-04-22 23:26:05 / ......................................................... ~ 504.92ms
