
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2025-04-22 23:14:09 /assets/img/profile2.jpg ................................... ~ 13.68ms
  2025-04-22 23:14:10 /assets/img/kaiadmin/favicon.ico ............................ ~ 0.30ms
  2025-04-22 23:14:11 /tenant/login ................................................... ~ 2s
  2025-04-22 23:14:13 /casisang-pageant/dashboard ..................................... ~ 1s
  2025-04-22 23:14:14 /assets/js/plugin/webfont/webfont.min.js .................... ~ 0.20ms
  2025-04-22 23:14:14 /assets/css/bootstrap.min.css ............................... ~ 0.23ms
  2025-04-22 23:14:14 /assets/css/plugins.min.css ................................ ~ 10.55ms
  2025-04-22 23:14:14 /assets/css/kaiadmin.min.css ................................ ~ 0.29ms
  2025-04-22 23:14:14 /assets/css/demo.css ........................................ ~ 0.32ms
  2025-04-22 23:14:14 /assets/img/kaiadmin/logo_light.svg ......................... ~ 0.27ms
  2025-04-22 23:14:14 /assets/img/jm_denis.jpg .................................... ~ 4.27ms
  2025-04-22 23:14:14 /assets/css/fonts.min.css ................................... ~ 0.50ms
  2025-04-22 23:14:14 /assets/img/chadengle.jpg ................................... ~ 7.82ms
  2025-04-22 23:14:14 /assets/img/mlane.jpg ...................................... ~ 10.30ms
  2025-04-22 23:14:14 /assets/js/core/jquery-3.7.1.min.js ......................... ~ 0.28ms
  2025-04-22 23:14:14 /assets/js/core/popper.min.js ............................... ~ 1.72ms
  2025-04-22 23:14:14 /assets/js/core/bootstrap.min.js ............................ ~ 0.16ms
  2025-04-22 23:14:14 /assets/fonts/fontawesome/fa-solid-900.woff2 ................ ~ 0.20ms
  2025-04-22 23:14:14 /assets/fonts/fontawesome/fa-regular-400.woff2 .............. ~ 1.07ms
  2025-04-22 23:14:14 /assets/fonts/fontawesome/fa-brands-400.woff2 ............... ~ 0.14ms
  2025-04-22 23:14:14 /assets/fonts/simple-line-icons/Simple-Line-Icons.woff2?v=2.4.0  ~ 1.08ms
  2025-04-22 23:14:14 /assets/js/plugin/jquery-scrollbar/jquery.scrollbar.min.js .. ~ 0.38ms
  2025-04-22 23:14:14 /assets/js/plugin/chart.js/chart.min.js ..................... ~ 0.86ms
  2025-04-22 23:14:14 /assets/js/plugin/jquery.sparkline/jquery.sparkline.min.js .. ~ 2.00ms
  2025-04-22 23:14:14 /assets/js/plugin/chart-circle/circles.min.js ............... ~ 0.18ms
  2025-04-22 23:14:14 /assets/js/plugin/datatables/datatables.min.js .............. ~ 0.18ms
  2025-04-22 23:14:14 /assets/js/plugin/bootstrap-notify/bootstrap-notify.min.js .. ~ 0.18ms
  2025-04-22 23:14:15 /assets/js/plugin/jsvectormap/jsvectormap.min.js ............ ~ 0.28ms
  2025-04-22 23:14:15 /assets/js/plugin/jsvectormap/world.js ...................... ~ 6.95ms
  2025-04-22 23:14:15 /assets/js/plugin/sweetalert/sweetalert.min.js ............. ~ 10.34ms
  2025-04-22 23:14:15 /assets/js/kaiadmin.min.js ................................. ~ 11.17ms
  2025-04-22 23:14:15 /assets/img/talha.jpg ...................................... ~ 16.67ms
  2025-04-22 23:14:15 /assets/js/demo.js ......................................... ~ 18.15ms
  2025-04-22 23:14:15 /assets/js/setting-demo.js ................................. ~ 34.54ms
  2025-04-22 23:14:15 /assets/img/profile2.jpg ................................... ~ 25.56ms
  2025-04-22 23:14:15 /assets/img/profile.jpg .................................... ~ 37.23ms
  2025-04-22 23:14:16 /assets/img/kaiadmin/favicon.ico ............................ ~ 0.20ms
  2025-04-22 23:14:20 /casisang-pageant/logout ........................................ ~ 2s
  2025-04-22 23:14:22 /tenant/login ............................................. ~ 512.53ms
  2025-04-22 23:14:23 /build/assets/app-DbTWgVAB.css .............................. ~ 0.33ms
  2025-04-22 23:14:23 /build/assets/app-Bo-u61x1.js ............................... ~ 2.44ms
  2025-04-22 23:14:23 /favicon.ico ................................................ ~ 0.20ms
  2025-04-22 23:14:13 / .............................................................. ~ 14s
  2025-04-22 23:14:31 /casisang-pageant/contestants ................................... ~ 1s
  2025-04-22 23:14:32 /assets/js/plugin/webfont/webfont.min.js .................... ~ 0.40ms
  2025-04-22 23:14:32 /assets/css/bootstrap.min.css ............................... ~ 2.00ms
  2025-04-22 23:14:32 /assets/css/plugins.min.css ................................ ~ 11.08ms
  2025-04-22 23:14:32 /assets/css/kaiadmin.min.css ............................... ~ 11.69ms
  2025-04-22 23:14:32 /assets/css/demo.css ....................................... ~ 16.72ms
  2025-04-22 23:14:32 /assets/img/kaiadmin/logo_light.svg ........................ ~ 20.79ms
  2025-04-22 23:14:32 /assets/img/jm_denis.jpg .................................... ~ 0.64ms
  2025-04-22 23:14:32 /assets/img/chadengle.jpg ................................... ~ 3.10ms
  2025-04-22 23:14:32 /assets/css/fonts.min.css ................................... ~ 0.19ms
  2025-04-22 23:14:33 /assets/img/mlane.jpg ....................................... ~ 1.28ms
  2025-04-22 23:14:33 /assets/js/core/jquery-3.7.1.min.js ......................... ~ 4.63ms
  2025-04-22 23:14:33 /assets/js/core/popper.min.js ............................... ~ 8.15ms
  2025-04-22 23:14:33 /assets/js/core/bootstrap.min.js ........................... ~ 17.80ms
  2025-04-22 23:14:33 /assets/js/plugin/jquery-scrollbar/jquery.scrollbar.min.js . ~ 24.04ms
  2025-04-22 23:14:33 /assets/js/plugin/chart.js/chart.min.js .................... ~ 30.15ms
  2025-04-22 23:14:33 /assets/js/plugin/jquery.sparkline/jquery.sparkline.min.js .. ~ 0.48ms
  2025-04-22 23:14:33 /assets/js/plugin/chart-circle/circles.min.js ............... ~ 1.06ms
  2025-04-22 23:14:33 /assets/js/plugin/datatables/datatables.min.js .............. ~ 2.31ms
  2025-04-22 23:14:33 /assets/js/plugin/bootstrap-notify/bootstrap-notify.min.js .. ~ 3.59ms
  2025-04-22 23:14:33 /assets/js/plugin/jsvectormap/jsvectormap.min.js ........... ~ 11.06ms
  2025-04-22 23:14:33 /assets/js/plugin/jsvectormap/world.js ..................... ~ 14.50ms
  2025-04-22 23:14:33 /assets/js/plugin/sweetalert/sweetalert.min.js ............ ~ 584.76ms
  2025-04-22 23:14:33 /assets/js/kaiadmin.min.js .................................. ~ 1.64ms
  2025-04-22 23:14:33 /assets/js/setting-demo.js .................................. ~ 3.93ms
  2025-04-22 23:14:33 /assets/js/demo.js ......................................... ~ 10.26ms
  2025-04-22 23:14:33 /assets/img/talha.jpg ...................................... ~ 13.08ms
  2025-04-22 23:14:33 /assets/img/profile.jpg ..................................... ~ 0.27ms
  2025-04-22 23:14:33 /storage/contestants/1745048187_s2.png ...................... ~ 1.84ms
  2025-04-22 23:14:33 /assets/img/profile2.jpg .................................... ~ 2.88ms
  2025-04-22 23:14:33 /assets/fonts/fontawesome/fa-solid-900.woff2 ................ ~ 0.30ms
  2025-04-22 23:14:33 /assets/fonts/simple-line-icons/Simple-Line-Icons.woff2?v=2.4.0  ~ 0.29ms
  2025-04-22 23:14:33 /assets/fonts/fontawesome/fa-regular-400.woff2 .............. ~ 0.34ms
  2025-04-22 23:14:33 /assets/fonts/fontawesome/fa-brands-400.woff2 ............... ~ 1.18ms
  2025-04-22 23:14:55 /casisang-pageant/dashboard ..................................... ~ 1s
  2025-04-22 23:14:56 /assets/js/plugin/webfont/webfont.min.js .................... ~ 0.48ms
  2025-04-22 23:14:56 /assets/css/bootstrap.min.css ............................... ~ 0.27ms
  2025-04-22 23:14:56 /assets/css/plugins.min.css ................................. ~ 2.70ms
  2025-04-22 23:14:56 /assets/css/kaiadmin.min.css ................................ ~ 0.33ms
  2025-04-22 23:14:56 /assets/css/demo.css ........................................ ~ 0.20ms
  2025-04-22 23:14:56 /assets/img/kaiadmin/logo_light.svg ......................... ~ 0.20ms
  2025-04-22 23:14:56 /assets/img/jm_denis.jpg .................................... ~ 0.20ms
  2025-04-22 23:14:56 /assets/img/chadengle.jpg ................................... ~ 0.30ms
  2025-04-22 23:14:56 /assets/img/mlane.jpg ....................................... ~ 0.43ms
  2025-04-22 23:14:57 /assets/css/fonts.min.css ................................... ~ 0.67ms
  2025-04-22 23:14:57 /assets/js/core/jquery-3.7.1.min.js ......................... ~ 3.01ms
  2025-04-22 23:14:57 /assets/js/core/popper.min.js ............................... ~ 4.13ms
